,id_0,0|order_make,0|remove_obstacle,0|ad_opened,0|ad_finished,0|energy,0|energy_get,0|coin_cost,0|coin_get,0|ruby_cost,0|ruby_get,label
4533,9193133bc1ee2ad7,16.0,106.0,26.0,13.0,23.0,796.0,2255.0,2485.0,395.0,461.0,1
503,18a54f55bfea3bc5,2.0,9.0,0.0,0.0,86.0,50.0,0.0,374.0,0.0,20.0,0
3932,b4bb890cf19a3236,5.0,41.0,0.0,0.0,2.0,165.0,0.0,1031.0,0.0,36.0,0
867,1ba2c0c1c0f7cd5a,10.0,76.0,0.0,0.0,4.0,574.0,1395.0,1399.0,53.0,56.0,1
4507,90e05172fc581995,19.0,103.0,10.0,5.0,3.0,735.0,1400.0,1855.0,27.0,56.0,1
2616,79d7d214adfed6be,2.0,8.0,0.0,0.0,92.0,50.0,0.0,357.0,3.0,20.0,0
2980,60c9bd185f8936e3,31.0,128.0,0.0,0.0,2.0,868.0,2365.0,2733.0,37.0,108.0,1
1137,24d87aa1468beda0,6.0,44.0,0.0,0.0,48.0,265.0,0.0,1069.0,25.0,46.0,1
1662,4d2d1647f1da0152,1.0,8.0,0.0,0.0,91.0,50.0,0.0,335.0,0.0,20.0,0
7562,ed54d1d1ec45d077,14.0,104.0,0.0,0.0,18.0,821.0,2585.0,2810.0,201.0,592.0,1
4488,cff0266e18986beb,5.0,23.0,0.0,0.0,2.0,50.0,0.0,620.0,2.0,21.0,0
2467,5038A2D5-5021-4639-AACB-E3C9FB97B4FB,1.0,5.0,0.0,0.0,90.0,25.0,0.0,130.0,0.0,10.0,1
1750,392E7BCC-BEEC-4D85-8949-3750BEAC02FB,14.0,94.0,3.0,1.0,55.0,695.0,1050.0,1688.0,65.0,92.0,1
3686,76a3aba9f99adc16,7.0,36.0,0.0,0.0,25.0,165.0,0.0,940.0,0.0,36.0,1
3059,6387bda3c53e6f39,5.0,43.0,0.0,0.0,2.0,75.0,0.0,1063.0,0.0,36.0,1
7624,ef653f3b6fa3b268,10.0,48.0,0.0,0.0,6.0,75.0,0.0,1396.0,37.0,46.0,1
4063,ba8b5a363a08c165,4.0,31.0,0.0,0.0,61.0,165.0,0.0,546.0,1.0,30.0,0
1761,39722d3ce1c2dca4,10.0,73.0,8.0,4.0,1.0,485.0,350.0,1442.0,23.0,57.0,1
6173,b8469027dfba1b5e,7.0,49.0,0.0,0.0,2.0,265.0,0.0,1078.0,0.0,34.0,1
1475,44ab4817fb458a15,6.0,9.0,0.0,0.0,86.0,50.0,0.0,517.0,3.0,23.0,0
2372,6da94fd78300ec29,3.0,7.0,0.0,0.0,76.0,25.0,0.0,302.0,0.0,15.0,0
5061,ef8eb8b400f38e5c,1.0,3.0,0.0,0.0,99.0,25.0,0.0,283.0,0.0,15.0,0
2613,799b2873c1a9e01b,2.0,4.0,0.0,0.0,94.0,25.0,0.0,269.0,0.0,15.0,0
6356,bf53df3a2a185c80,14.0,62.0,6.0,3.0,148.0,560.0,1140.0,1223.0,8.0,55.0,1
4560,9255fc3e946a56b2,7.0,45.0,2.0,1.0,0.0,165.0,0.0,1036.0,7.0,44.0,1
1494,30d249f8846e493b,18.0,87.0,2.0,1.0,2.0,585.0,1110.0,1488.0,43.0,54.0,1
958,2ce023eee98edb2c,6.0,48.0,2.0,1.0,9.0,255.0,350.0,1194.0,0.0,36.0,0
7245,e27143e8098139ee,8.0,41.0,0.0,0.0,3.0,75.0,150.0,1087.0,0.0,34.0,1
1973,4073f52b3fd08337,6.0,27.0,2.0,1.0,2.0,50.0,150.0,665.0,3.0,23.0,1
2350,4bcbd9d277d84539,5.0,23.0,0.0,0.0,93.0,140.0,0.0,538.0,0.0,20.0,1
2221,6634f37f46bd2c92,10.0,64.0,4.0,2.0,7.0,385.0,0.0,1340.0,0.0,47.0,0
431,0cfbb6400002059b,1.0,6.0,0.0,0.0,78.0,25.0,0.0,279.0,0.0,15.0,1
2188,64ec2e61b9589a45,18.0,96.0,0.0,0.0,8.0,655.0,1400.0,1943.0,19.0,65.0,0
745,238a747c8b788555,21.0,65.0,26.0,13.0,5.0,500.0,0.0,1281.0,25.0,154.0,0
896,2a243289c4fdb596,4.0,22.0,0.0,0.0,3.0,50.0,0.0,704.0,0.0,20.0,0
