id_0,order_make,remove_obstacle,ad_opened,ad_finished,energy_get,coin_cost,coin_get,ruby_cost,ruby_get,label
0e6589b43ad28ead,65.0,239.0,52.0,46.0,1685.0,3550.0,3793.0,353.0,581.0,0
556c62f27c3b90f,1.0,2.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0
7626bbdaad046db4,94.0,397.0,228.0,90.0,2936.0,5655.0,5668.0,443.0,443.0,1
551c49d5cb03c559,6.0,44.0,0.0,0.0,205.0,0.0,1009.0,0.0,36.0,0
5eaccc45484f9567,9.0,24.0,0.0,0.0,50.0,0.0,697.0,13.0,24.0,0
fd11571edf03efb7,33.0,204.0,26.0,16.0,1345.0,2200.0,2898.0,158.0,230.0,1
C0FD23EC-E4B9-4F0B-BF30-581C3359E25C,23.0,131.0,2.0,3.0,874.0,1605.0,2008.0,72.0,115.0,0
5e19d651a6c83da8,103.0,525.0,118.0,70.0,3772.0,7920.0,7922.0,540.0,540.0,1
fa08c182ab35fc9d,73.0,449.0,18.0,96.0,3278.0,7980.0,8027.0,590.0,601.0,1
1177890e685b63d1,80.0,512.0,66.0,61.0,4180.0,5915.0,6422.0,205.0,217.0,1
3fcf4511c6f38575,1.0,3.0,0.0,0.0,25.0,0.0,280.0,0.0,15.0,0
2142790778f73ce9,6.0,51.0,0.0,0.0,165.0,0.0,1185.0,1.0,36.0,1
0b2ee40ca5b00fa3,12.0,53.0,0.0,1.0,295.0,825.0,1332.0,6.0,48.0,0
721429e65df74784,31.0,183.0,16.0,9.0,1422.0,2905.0,2905.0,112.0,114.0,0
5cbf5186cc97ec19,6.0,34.0,0.0,2.0,75.0,35.0,855.0,0.0,31.0,0
2102157a559acdd3,2.0,21.0,0.0,0.0,50.0,0.0,420.0,0.0,20.0,0
dbde8d928f567301,7.0,38.0,0.0,0.0,165.0,0.0,844.0,15.0,41.0,0
f12987813bd078c2,18.0,93.0,0.0,0.0,727.0,1610.0,2159.0,70.0,105.0,0
c9a2aa6bbf1d201b,0.0,2.0,0.0,0.0,0.0,0.0,199.0,0.0,5.0,0
bb2291d9541b811c,1.0,8.0,0.0,0.0,50.0,0.0,385.0,0.0,20.0,0
559a9c5a4e4a8cb0,1.0,7.0,0.0,0.0,25.0,0.0,280.0,0.0,15.0,0
de99f034ac1b4d76,1.0,3.0,0.0,0.0,25.0,0.0,270.0,0.0,15.0,0
7e5667600778abfa,36.0,199.0,34.0,19.0,1260.0,2175.0,1778.0,71.0,81.0,1
F433DEB5-1D83-44D1-9EC0-10B6CA1316C1,12.0,52.0,0.0,1.0,225.0,0.0,1127.0,7.0,46.0,0
2f06a7ee6399693b,23.0,103.0,0.0,0.0,385.0,0.0,1897.0,0.0,53.0,1
46802ae35e0b2da0,32.0,131.0,4.0,7.0,665.0,0.0,2500.0,136.0,147.0,0
57b1a9e4adcc47f1,2.0,8.0,0.0,0.0,50.0,0.0,339.0,0.0,20.0,0
f43a40c90aa8b28b,72.0,248.0,30.0,35.0,1225.0,2485.0,4632.0,331.0,714.0,1
4d230e6f410204b5,6.0,29.0,0.0,0.0,165.0,0.0,830.0,0.0,31.0,0
ab5935fb7582187d,1.0,5.0,0.0,0.0,25.0,0.0,282.0,0.0,15.0,0
f08fbd85dbd3688a,8.0,29.0,0.0,0.0,140.0,0.0,654.0,10.0,21.0,1
5d017b45aaf5b685,6.0,38.0,0.0,0.0,165.0,0.0,848.0,1.0,31.0,0
bb897ffbf26d1ef6,42.0,135.0,26.0,20.0,965.0,2845.0,2939.0,109.0,289.0,0
0d87fc8db86761a9,2.0,8.0,0.0,0.0,50.0,0.0,338.0,0.0,20.0,0
fe729aceb95f005e,30.0,211.0,0.0,19.0,1606.0,3005.0,3028.0,140.0,156.0,0
81a90e99d6c5e530,22.0,103.0,1.0,0.0,705.0,700.0,1846.0,109.0,130.0,1
9ffa5670a5d25c5e,4.0,17.0,0.0,0.0,50.0,0.0,718.0,0.0,21.0,0
f79ec8c3caae91be,1.0,5.0,0.0,0.0,25.0,0.0,282.0,0.0,15.0,0
cb1946d7643f5296,2.0,3.0,0.0,0.0,25.0,0.0,283.0,0.0,15.0,0
32aaa57b7f1a31ed,2.0,8.0,0.0,0.0,25.0,0.0,324.0,0.0,15.0,0
ef4d1bdc5b45c13b,35.0,181.0,2.0,6.0,795.0,1050.0,3173.0,80.0,431.0,0
c11cc86583564516,11.0,39.0,0.0,0.0,165.0,150.0,1230.0,35.0,50.0,0
082b0a737c6ef7e2,13.0,72.0,0.0,2.0,235.0,0.0,1453.0,10.0,60.0,0
b4b8e90d49ff642d,94.0,377.0,0.0,4.0,2215.0,4900.0,7760.0,1142.0,2169.0,1
bce8382493ab1521,2.0,10.0,0.0,0.0,50.0,0.0,589.0,0.0,21.0,0
98CDD21D-9714-4642-B584-26B6FDD182DB,23.0,125.0,0.0,7.0,885.0,1750.0,2315.0,98.0,212.0,0
80b07b2fcad28d65,9.0,74.0,0.0,1.0,545.0,1050.0,1360.0,43.0,56.0,1
61240ca546bdb496,1.0,3.0,0.0,0.0,25.0,0.0,280.0,0.0,15.0,0
45C20728-0773-49B6-B705-FA167D48EAA5,15.0,76.0,0.0,0.0,535.0,700.0,1464.0,51.0,87.0,0
958f7df44a03dfc3,1.0,3.0,0.0,0.0,25.0,0.0,274.0,0.0,15.0,0
918982d0b2230dbd,6.0,31.0,0.0,0.0,75.0,0.0,921.0,11.0,41.0,1
eeae74d624975b1b,41.0,231.0,54.0,28.0,1475.0,4155.0,4446.0,185.0,485.0,0
